No.,購入日,部署,品名,単価,数量,金額
1,2022-04-03,営業,コピー用紙,500.0,5.0,2500
2,2022-04-03,営業,付箋,200.0,10.0,2000
3,2022-04-08,総務,クリアファイル,300.0,5.0,1500
4,2022-04-08,総務,ホッチキス針,50.0,10.0,500
5,2022-04-14,製造,ガムテープ,120.0,20.0,2400
6,2022-04-14,製造,軍手,200.0,10.0,2000
7,2022-04-20,営業,セロハンテープ,150.0,10.0,1500
8,2022-04-20,総務,ボールペン,200.0,10.0,2000
9,2022-04-20,総務,シャープペン替え芯,150.0,10.0,1500
10,2022-04-25,設計,クリアファイル,300.0,8.0,2400
11,2022-04-25,設計,修正ペン,200.0,6.0,1200
12,2022-04-25,設計,付箋,200.0,8.0,1600
13,2022-04-27,製造,セロハンテープ,150.0,20.0,3000
14,2022-04-27,製造,油性マジック,150.0,25.0,3750
15,2022-05-01,総務,コピー用紙,500.0,3.0,1500
16,2022-05-01,総務,消しゴム,120.0,10.0,1200
17,2022-05-01,総務,蛍光ペン,180.0,5.0,900
18,2022-05-07,営業,スティックのり,160.0,5.0,800
19,2022-05-07,営業,両面テープ,200.0,2.0,400
20,2022-05-07,営業,ボールペン,240.0,10.0,2400
21,2022-05-10,設計,乾電池,550.0,6.0,3300
22,2022-05-10,設計,ホッチキス針,50.0,8.0,400
23,2022-05-13,製造,ゴム手袋,650.0,1.0,650
24,2022-05-13,製造,メラミンスポンジ,350.0,1.0,350
25,2022-05-13,製造,ティッシュ,350.0,5.0,1750
26,2022-05-19,営業,修正ペン,200.0,4.0,800
27,2022-05-19,営業,画鋲,300.0,1.0,300
28,2022-05-24,総務,ガムテープ,120.0,4.0,480
29,2022-05-24,総務,付箋,200.0,10.0,2000
30,2022-05-24,総務,スティックのり,160.0,6.0,960
31,2022-05-27,設計,ボールペン,200.0,8.0,1600
32,2022-05-27,設計,消しゴム,130.0,6.0,780
33,2022-06-01,営業,ノート,200.0,10.0,2000
34,2022-06-01,営業,ウェットティッシュ,400.0,3.0,1200
35,2022-06-09,設計,ティッシュ,350.0,4.0,1400
36,2022-06-09,設計,マスキングテープ,200.0,4.0,800
37,2022-06-11,製造,ハサミ,600.0,1.0,600
38,2022-06-11,製造,コピー用紙,500.0,6.0,3000
39,2022-06-11,製造,乾電池,800.0,2.0,1600
40,2022-06-17,営業,ボールペン,200.0,6.0,1200
41,2022-06-17,営業,蛍光ペン,180.0,12.0,2160
42,2022-06-20,総務,ウェットティッシュ,400.0,8.0,3200
43,2022-06-20,総務,マスキングテープ,200.0,6.0,1200
44,2022-06-22,設計,瞬間接着剤,550.0,1.0,550
45,2022-06-22,設計,輪ゴム,320.0,1.0,320
46,2022-06-22,設計,カッターナイフ,450.0,2.0,900
47,2022-06-28,製造,ホッチキス,600.0,2.0,1200
48,2022-06-28,製造,ビニール紐,400.0,2.0,800
49,2022-07-02,総務,付箋,200.0,8.0,1600
50,2022-07-02,総務,アルコールスプレー,380.0,2.0,760
51,2022-07-05,設計,定規,350.0,3.0,1050
52,2022-07-05,設計,鉛筆,450.0,2.0,900
53,2022-07-10,営業,ビニール袋,250.0,2.0,500
54,2022-07-10,営業,電球,300.0,4.0,1200
55,2022-07-10,営業,クリアファイル,280.0,4.0,1120
56,2022-07-15,製造,軍手,250.0,10.0,2500
57,2022-07-15,製造,マジック,220.0,5.0,1100
58,2022-07-18,営業,シャチハタ,700.0,4.0,2800
59,2022-07-21,総務,コピー用紙,500.0,5.0,2500
60,2022-07-21,総務,ボールペン,200.0,6.0,1200
61,2022-07-26,設計,両面テープ,200.0,4.0,800
62,2022-07-26,設計,ガムテープ,120.0,10.0,1200
63,2022-07-30,製造,カッターナイフ,450.0,3.0,1350
64,2022-07-30,製造,アルコールスプレー,380.0,4.0,1520
65,2022-08-03,営業,ノート,200.0,8.0,1600
66,2022-08-03,営業,鉛筆,450.0,2.0,900
67,2022-08-06,設計,ボールペン,200.0,6.0,1200
68,2022-08-06,設計,付箋,200.0,4.0,800
69,2022-08-10,総務,ビニール袋,250.0,3.0,750
70,2022-08-10,総務,ゴム手袋,650.0,2.0,1300
71,2022-08-10,総務,マジック,220.0,6.0,1320
72,2022-08-18,製造,マスク,980.0,2.0,1960
73,2022-08-18,製造,蛍光灯,780.0,10.0,7800
74,2022-08-18,製造,ティッシュ,350.0,6.0,2100
75,2022-08-22,営業,乾電池,650.0,2.0,1300
76,2022-08-22,営業,マスキングテープ,250.0,3.0,750
77,2022-08-26,設計,修正テープ,300.0,4.0,1200
78,2022-08-26,設計,マジック,220.0,8.0,1760
79,2022-08-30,総務,パンチ,1400.0,1.0,1400
80,2022-08-30,総務,ティッシュ,350.0,4.0,1400
81,2022-09-02,設計,ティッシュ,350.0,6.0,2100
82,2022-09-02,設計,ウェットティッシュ,400.0,3.0,1200
83,2022-09-07,営業,ティッシュ,350.0,3.0,1050
84,2022-09-07,営業,アルコールスプレー,380.0,3.0,1140
85,,,,,,0
86,,,,,,0
87,,,,,,0
88,,,,,,0
89,,,,,,0
90,,,,,,0
91,,,,,,0
92,,,,,,0
93,,,,,,0
94,,,,,,0
95,,,,,,0
96,,,,,,0
97,,,,,,0
98,,,,,,0
99,,,,,,0
100,,,,,,0
